product_id,name,variant_label,image,cost_price,sell_price,profit,match_status
PROD-0966,Modian Luxury D Color Moissanite Band Stackable,Gem Color: 0 05Ct X 31 • Ring Size: 8,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0978_modian-luxury-d-color-moissanite-band-stackable-ri.webp,"₦53,488","₦68,900","₦15,412",matched_variant
PROD-0966,Modian Luxury D Color Moissanite Band Stackable,Gem Color: 0 05Ct X 31 • Ring Size: 9,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0978_modian-luxury-d-color-moissanite-band-stackable-ri.webp,"₦53,488","₦68,900","₦15,412",matched_variant
PROD-0966,Modian Luxury D Color Moissanite Band Stackable,Gem Color: 0 1Ct X 7 • Ring Size: 5,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0978_modian-luxury-d-color-moissanite-band-stackable-ri.webp,"₦48,842","₦64,500","₦15,658",matched_variant
PROD-0966,Modian Luxury D Color Moissanite Band Stackable,Gem Color: 0 1Ct X 7 • Ring Size: 6,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0978_modian-luxury-d-color-moissanite-band-stackable-ri.webp,"₦48,842","₦64,500","₦15,658",matched_variant
PROD-0966,Modian Luxury D Color Moissanite Band Stackable,Gem Color: 0 1Ct X 7 • Ring Size: 7,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0978_modian-luxury-d-color-moissanite-band-stackable-ri.webp,"₦48,842","₦64,500","₦15,658",matched_variant
PROD-0966,Modian Luxury D Color Moissanite Band Stackable,Gem Color: 0 1Ct X 7 • Ring Size: 8,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0978_modian-luxury-d-color-moissanite-band-stackable-ri.webp,"₦48,842","₦64,500","₦15,658",matched_variant
PROD-0966,Modian Luxury D Color Moissanite Band Stackable,Gem Color: 0 1Ct X 7 • Ring Size: 9,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0978_modian-luxury-d-color-moissanite-band-stackable-ri.webp,"₦48,842","₦64,500","₦15,658",matched_variant
PROD-0967,Modian Luxury Dazzling Clear Cubic Zirconia Ring,Gem Color: White • Ring Size: 5,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0979_modian-luxury-dazzling-clear-cubic-zirconia-ring-9.webp,"₦27,254","₦37,900","₦10,646",matched_variant
PROD-0967,Modian Luxury Dazzling Clear Cubic Zirconia Ring,Gem Color: White • Ring Size: 6,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0979_modian-luxury-dazzling-clear-cubic-zirconia-ring-9.webp,"₦27,254","₦37,900","₦10,646",matched_variant
PROD-0967,Modian Luxury Dazzling Clear Cubic Zirconia Ring,Gem Color: White • Ring Size: 7,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0979_modian-luxury-dazzling-clear-cubic-zirconia-ring-9.webp,"₦27,254","₦37,900","₦10,646",matched_variant
PROD-0967,Modian Luxury Dazzling Clear Cubic Zirconia Ring,Gem Color: White • Ring Size: 8,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0979_modian-luxury-dazzling-clear-cubic-zirconia-ring-9.webp,"₦27,254","₦37,900","₦10,646",matched_variant
PROD-0967,Modian Luxury Dazzling Clear Cubic Zirconia Ring,Gem Color: White • Ring Size: 9,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0979_modian-luxury-dazzling-clear-cubic-zirconia-ring-9.webp,"₦27,254","₦37,900","₦10,646",matched_variant
PROD-0967,Modian Luxury Dazzling Clear Cubic Zirconia Ring,Gem Color: Yellow • Ring Size: 5,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0979_modian-luxury-dazzling-clear-cubic-zirconia-ring-9.webp,"₦27,254","₦37,900","₦10,646",matched_variant
PROD-0967,Modian Luxury Dazzling Clear Cubic Zirconia Ring,Gem Color: Yellow • Ring Size: 6,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0979_modian-luxury-dazzling-clear-cubic-zirconia-ring-9.webp,"₦27,254","₦37,900","₦10,646",matched_variant
PROD-0967,Modian Luxury Dazzling Clear Cubic Zirconia Ring,Gem Color: Yellow • Ring Size: 7,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0979_modian-luxury-dazzling-clear-cubic-zirconia-ring-9.webp,"₦27,254","₦37,900","₦10,646",matched_variant
